Step,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MAX
25,3.0446438789367700,3.0446438789367700,3.0446438789367700,2.960848331451420,2.960848331451420,2.960848331451420,2.536097288131710,2.536097288131710,2.536097288131710,2.866999387741090,2.866999387741090,2.866999387741090,2.8687968254089400,2.8687968254089400,2.8687968254089400,2.9854209423065200,2.9854209423065200,2.9854209423065200,2.6237897872924800,2.6237897872924800,2.6237897872924800,1.356431245803830,1.356431245803830,1.356431245803830
26,3.0597715377807600,3.0597715377807600,3.0597715377807600,2.9796440601348900,2.9796440601348900,2.9796440601348900,2.567718505859380,2.567718505859380,2.567718505859380,2.8897902965545700,2.8897902965545700,2.8897902965545700,2.869450807571410,2.869450807571410,2.869450807571410,2.9978106021881100,2.9978106021881100,2.9978106021881100,2.5818705558776900,2.5818705558776900,2.5818705558776900,1.3476990461349500,1.3476990461349500,1.3476990461349500
27,3.1031765937805200,3.1031765937805200,3.1031765937805200,3.000458240509030,3.000458240509030,3.000458240509030,2.572228193283080,2.572228193283080,2.572228193283080,2.9206464290618900,2.9206464290618900,2.9206464290618900,2.887458324432370,2.887458324432370,2.887458324432370,2.986579179763790,2.986579179763790,2.986579179763790,2.583204507827760,2.583204507827760,2.583204507827760,1.3314968347549400,1.3314968347549400,1.3314968347549400
28,3.1533751487731900,3.1533751487731900,3.1533751487731900,3.0190021991729700,3.0190021991729700,3.0190021991729700,2.573988199234010,2.573988199234010,2.573988199234010,2.955472946166990,2.955472946166990,2.955472946166990,2.864584445953370,2.864584445953370,2.864584445953370,2.9985830783844000,2.9985830783844000,2.9985830783844000,2.594078779220580,2.594078779220580,2.594078779220580,1.328834891319280,1.328834891319280,1.328834891319280
29,3.1281957626342800,3.1281957626342800,3.1281957626342800,3.030427932739260,3.030427932739260,3.030427932739260,2.5744967460632300,2.5744967460632300,2.5744967460632300,2.966732978820800,2.966732978820800,2.966732978820800,2.879002332687380,2.879002332687380,2.879002332687380,3.0197603702545200,3.0197603702545200,3.0197603702545200,2.5572478771209700,2.5572478771209700,2.5572478771209700,1.3183858394622800,1.3183858394622800,1.3183858394622800
30,3.149341583251950,3.149341583251950,3.149341583251950,3.0309128761291500,3.0309128761291500,3.0309128761291500,2.589972496032720,2.589972496032720,2.589972496032720,2.9803667068481400,2.9803667068481400,2.9803667068481400,2.8847219944000200,2.8847219944000200,2.8847219944000200,2.976179838180540,2.976179838180540,2.976179838180540,2.5657010078430200,2.5657010078430200,2.5657010078430200,1.3115679025650000,1.3115679025650000,1.3115679025650000
31,3.177661657333370,3.177661657333370,3.177661657333370,3.058812379837040,3.058812379837040,3.058812379837040,2.6087005138397200,2.6087005138397200,2.6087005138397200,2.9803802967071500,2.9803802967071500,2.9803802967071500,2.896078109741210,2.896078109741210,2.896078109741210,2.9707584381103500,2.9707584381103500,2.9707584381103500,2.5603139400482200,2.5603139400482200,2.5603139400482200,1.3032941818237300,1.3032941818237300,1.3032941818237300
32,3.1579606533050500,3.1579606533050500,3.1579606533050500,3.0923449993133500,3.0923449993133500,3.0923449993133500,2.6316683292388900,2.6316683292388900,2.6316683292388900,2.97373366355896,2.97373366355896,2.97373366355896,2.9132466316223100,2.9132466316223100,2.9132466316223100,2.9723753929138200,2.9723753929138200,2.9723753929138200,2.576941967010500,2.576941967010500,2.576941967010500,1.2940384149551400,1.2940384149551400,1.2940384149551400
33,3.1523852348327600,3.1523852348327600,3.1523852348327600,3.12514328956604,3.12514328956604,3.12514328956604,2.631744861602780,2.631744861602780,2.631744861602780,3.008939743041990,3.008939743041990,3.008939743041990,2.9322593212127700,2.9322593212127700,2.9322593212127700,2.996047258377080,2.996047258377080,2.996047258377080,2.5491857528686500,2.5491857528686500,2.5491857528686500,1.2971082925796500,1.2971082925796500,1.2971082925796500
34,3.2043709754943800,3.2043709754943800,3.2043709754943800,3.1314280033111600,3.1314280033111600,3.1314280033111600,2.6450839042663600,2.6450839042663600,2.6450839042663600,3.0102453231811500,3.0102453231811500,3.0102453231811500,2.9922008514404300,2.9922008514404300,2.9922008514404300,3.017212152481080,3.017212152481080,3.017212152481080,2.5552611351013200,2.5552611351013200,2.5552611351013200,1.2899686098098800,1.2899686098098800,1.2899686098098800
