"Step","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MAX"
"66","0.014276952767676588","0.014276952767676588","0.014276952767676588","0.009866375351961153","0.009866375351961153","0.009866375351961153","0.0073565791301872935","0.0073565791301872935","0.0073565791301872935"
"67","0.01419253210310921","0.01419253210310921","0.01419253210310921","0.00975825663113003","0.00975825663113003","0.00975825663113003","0.007318174929337626","0.007318174929337626","0.007318174929337626"
"68","0.014170107351742844","0.014170107351742844","0.014170107351742844","0.009714435582602779","0.009714435582602779","0.009714435582602779","0.007265074976279939","0.007265074976279939","0.007265074976279939"
"69","0.014122745268276829","0.014122745268276829","0.014122745268276829","0.009665785730822262","0.009665785730822262","0.009665785730822262","0.00724667932509214","0.00724667932509214","0.00724667932509214"
"70","0.014096457696009791","0.014096457696009791","0.014096457696009791","0.009596576907880735","0.009596576907880735","0.009596576907880735","0.007186238907807814","0.007186238907807814","0.007186238907807814"
"71","0.014078182928873292","0.014078182928873292","0.014078182928873292","0.009547855372345856","0.009547855372345856","0.009547855372345856","0.007171962351036798","0.007171962351036798","0.007171962351036798"
"72","0.014065663242749642","0.014065663242749642","0.014065663242749642","0.009494167474137671","0.009494167474137671","0.009494167474137671","0.007118450149107442","0.007118450149107442","0.007118450149107442"
"73","0.014037112470732393","0.014037112470732393","0.014037112470732393","0.009438354501284267","0.009438354501284267","0.009438354501284267","0.007106600138744361","0.007106600138744361","0.007106600138744361"
"74","0.013991577796214613","0.013991577796214613","0.013991577796214613","0.009370656856048182","0.009370656856048182","0.009370656856048182","0.007070949456380694","0.007070949456380694","0.007070949456380694"
"75","0.013969880031035806","0.013969880031035806","0.013969880031035806","0.009327203555234313","0.009327203555234313","0.009327203555234313","0.007020411983534373","0.007020411983534373","0.007020411983534373"
"76","0.013936438111962365","0.013936438111962365","0.013936438111962365","0.009293457733893496","0.009293457733893496","0.009293457733893496","0.00698276852412799","0.00698276852412799","0.00698276852412799"
"77","0.013863252981372028","0.013863252981372028","0.013863252981372028","0.009210870255886577","0.009210870255886577","0.009210870255886577","0.00693592849733932","0.00693592849733932","0.00693592849733932"
"78","0.013824534612668724","0.013824534612668724","0.013824534612668724","0.00915462436196681","0.00915462436196681","0.00915462436196681","0.006862394032546329","0.006862394032546329","0.006862394032546329"
"79","0.013790593500214703","0.013790593500214703","0.013790593500214703","0.00910625005629369","0.00910625005629369","0.00910625005629369","0.006856032328099651","0.006856032328099651","0.006856032328099651"
"80","0.013750790042303285","0.013750790042303285","0.013750790042303285","0.009046669614354352","0.009046669614354352","0.009046669614354352","0.0068065304083715595","0.0068065304083715595","0.0068065304083715595"
"81","0.013755480577121702","0.013755480577121702","0.013755480577121702","0.00901088349070857","0.00901088349070857","0.00901088349070857","0.006803354019856652","0.006803354019856652","0.006803354019856652"
